timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709326257719,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.9458364802880973,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,32.41988218777633,25.063307521011012,0.0,0.0,low,tight,train
1709326257740,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.8949912231382389,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,31.6675675076638,42.48410712054001,0.0,0.0,low,tight,train
1709326257745,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.829944713127058,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,72.3010466540046,35.48090126933473,0.0,0.0,low,tight,train
1709326257751,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.7784537997599574,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,33.99181894623499,56.9218206400902,0.0,0.0,low,tight,train
1709326257760,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.7363469999685408,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,96.31023203092886,37.48260668183373,0.0,0.0,low,tight,train
1709326257761,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.7977534811678964,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,39.76340332894014,34.99101240288272,0.0,0.0,low,tight,train
1709326257776,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.7690862737692707,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,60.51963389572173,45.32539023135492,0.0,0.0,low,tight,train
1709326262053,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.9468927423028601,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,36.40278675425324,86.00057106326646,7.275957614183426e-12,0.0,low,tight,train
1709326262076,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.73751529061856,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,61.43941436946578,20.808198754345053,7.275957614183426e-12,0.0,low,tight,train
1709326262077,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.7216340642605206,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,47.759619102030726,30.484427032942655,7.275957614183426e-12,0.0,low,tight,train
